"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","abund_gini","long_count","max_geneDist","genomic_range","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"LINC02028","-",0,2,0,2,0,1,0,0.0555555555555556,0,1,0,194059762,1,FALSE,FALSE,TRUE,FALSE,NA
"LINC02032","+",2,3,2,3,2,1,0.000810372771474878,0.000742390497401633,0,1,225367,386154,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02036","-",0,1,0,1,0,1,0,0.00126903553299492,0,1,0,194214968,1,FALSE,FALSE,TRUE,FALSE,NA
"LINC02039","+",0,1,0,1,0,1,0,0.00126903553299492,0,1,167161,126012415,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02042","-",0,1,0,1,0,1,0,0.00598802395209581,0,1,17226,112766545,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02043","-",1,1,1,1,1,1,0.000405186385737439,0.00229885057471264,0,1,0,3973,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02044","-",1,0,1,0,3,0,0.0014873574615766,0,0,0,38182,113104167,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02052","-",1,1,1,1,1,1,0.000299311583358276,0.000768639508070715,0,1,28955,70328,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02053","+",0,1,0,1,0,1,0,0.00128865979381443,0,1,132712,180281460,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02054","+",0,1,0,1,0,1,0,0.00497512437810945,0,1,30605,184470253,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02056","-",1,0,1,0,1,0,0.000722021660649819,0,0,0,76299,72736968,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02059","+",1,0,1,0,1,0,0.000294464075382803,0,0,0,792,86750564,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02064","-",0,1,0,1,0,1,0,0.000360880548538434,0,1,41904,29437880,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02070","+",0,1,0,1,0,1,0,0.00104493207941484,0,1,72080,86569076,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02072","+",1,0,1,0,1,0,0.000722021660649819,0,0,0,18014,51360585,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02079","-",1,1,1,1,1,1,0.000217580504786771,0.00338983050847458,0,1,27678,20989,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02081","-",1,0,1,0,4,0,0.000964785335262904,0,0,0,8581,78640638,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02085","+",0,1,0,1,0,1,0,0.0000632911392405063,0,1,0,101969958,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02091","-",1,0,1,0,1,0,0.000908265213442325,0,0,0,0,184945,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02095","-",1,1,1,1,1,1,0.000278009452321379,0.0000632911392405063,0,1,38806,30547,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02099","+",1,0,1,0,1,0,0.000495049504950495,0,0,0,0,29779390,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02102","-",0,1,0,1,0,1,0,0.00584795321637427,0,1,2802,6683522,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02103","-",1,2,1,2,1,1,0.00113636363636364,0.00026581605528974,0,1,353011,393823,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02104","+",2,0,2,0,1,0,0.000477326968973747,0,0,0,203456,39728164,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02106","-",0,2,0,2,0,1,0,0.0031055900621118,0,1,195624,51165811,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02111","-",0,1,0,1,0,1,0,0.000768639508070715,0,1,47714,17331191,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02112","-",3,0,3,0,1,0,0.000805152979066023,0,0,0,158427,10062251,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02113","+",2,1,2,2,1,1,0.000428265524625268,0.0000632911392405063,0,1,71097,67168,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02114","+",1,3,1,3,1,2,0.000485201358563804,0.00229885057471264,0.166666666666667,1,447573,379702,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02120","+",2,2,2,2,1,1,0.000722021660649819,0.00757575757575758,0,1,223715,244721,0.333333333333333,FALSE,FALSE,FALSE,FALSE,NA
"LINC02125","+",1,0,1,0,1,0,0.000495049504950495,0,0,0,14368,76672846,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02133","+",1,0,1,0,1,0,0.0019723865877712,0,0,0,6322,47914753,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02140","-",1,3,1,3,1,1,0.000722021660649819,0.03125,0,1,196769,106119,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02141","+",3,2,3,2,1,1,0.00131752305665349,0.000768639508070715,0,1,113223,309106,1,FALSE,FALSE,TRUE,FALSE,NA
"LINC02143","-",1,2,1,4,1,1,0.00149700598802395,0.00301204819277108,0,1,173460,163818,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02147","+",0,1,0,2,0,1,0,0.000442086648983201,0,1,0,117901398,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02149","-",1,0,1,0,1,0,0.000299311583358276,0,0,0,35241,15301801,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02158","+",1,0,1,0,1,0,0.000722021660649819,0,0,0,538,42774172,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02159","-",1,0,1,0,1,0,0.000217580504786771,0,0,0,98962,161037588,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02167","+",7,4,15,12,1,9,0.00255102040816327,0.0204081632653061,0.366666666666667,2,2521266,2463512,0.451653430250819,FALSE,FALSE,FALSE,FALSE,NA
"LINC02170","-",0,1,0,1,0,1,0,0.00354609929078014,0,1,0,80839402,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02177","+",1,0,1,0,1,0,0.000485201358563804,0,0,0,49417,9306170,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02185","-",0,1,0,1,0,1,0,0.000360880548538434,0,1,23010,13986265,1,FALSE,FALSE,FALSE,FALSE,NA
