"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","abund_gini","long_count","max_geneDist","genomic_range","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"ACLY","-",7,2,7,2,2,2,0.00089126559714795,0.0009000900090009,0.166666666666667,1,0,32617,1,FALSE,FALSE,FALSE,FALSE,NA
"ACMSD","+",0,2,0,2,0,1,0,0.00218340611353712,0,1,25918,134818932,1,FALSE,FALSE,FALSE,FALSE,NA
"ACO1","+",3,2,3,2,1,1,0.000428265524625268,0.00510204081632653,0,1,451454,517424,1,FALSE,FALSE,FALSE,FALSE,NA
"ACO2","+",10,2,12,3,2,3,0.000958772770853308,0.000932835820895522,0.266666666666667,1,0,48440,1,FALSE,FALSE,TRUE,FALSE,NA
"ACOD1","+",1,0,1,0,1,0,0.000256344527044348,0,0,0,1038,76951450,1,FALSE,FALSE,FALSE,FALSE,NA
"ACOT11","+",1,1,2,1,1,1,0.000299311583358276,0.00395256916996047,0,1,55544,93988,0.333333333333333,FALSE,FALSE,TRUE,FALSE,NA
"ACOT13","+",2,1,2,1,1,1,0.000485201358563804,0.00126903553299492,0,1,0,10278,1,FALSE,FALSE,TRUE,FALSE,NA
"ACOT6","+",2,1,2,1,1,1,0.00255102040816327,0.0026525198938992,0,1,8014,7060,1,FALSE,FALSE,FALSE,FALSE,NA
"ACOT7","-",6,3,7,5,1,1,0.0005,0.00429184549356223,0,1,0,109392,1,FALSE,FALSE,TRUE,FALSE,NA
"ACOT8","-",2,0,2,0,1,0,0.000342700479780672,0,0,0,0,45849509,1,FALSE,FALSE,FALSE,FALSE,NA
"ACOT9","-",3,1,4,1,3,1,0.0012970168612192,0.000265886732252061,0,1,13820,48792,1,FALSE,FALSE,FALSE,FALSE,NA
"ACOX1","-",33,8,73,19,4,2,0.00307692307692308,0.00714285714285714,0.0473684210526315,2,0,33436,0.035639108085924,FALSE,FALSE,TRUE,FALSE,NA
"ACOX2","-",0,2,0,2,0,1,0,0.00353356890459364,0,1,0,58515166,1,FALSE,FALSE,TRUE,FALSE,NA
"ACOX3","-",0,1,0,1,0,1,0,0.00128865979381443,0,1,0,8396624,1,FALSE,FALSE,FALSE,FALSE,NA
"ACOXL","+",5,1,5,2,1,1,0.000736919675755343,0.00227790432801822,0,1,0,375293,0.142857142857143,FALSE,FALSE,FALSE,FALSE,NA
"ACP1","+",0,2,0,2,0,1,0,0.00387596899224806,0,1,0,271866,1,FALSE,FALSE,FALSE,FALSE,NA
"ACP5","-",1,1,1,1,1,1,0.000271591526344378,0.00241545893719807,0,1,4611,8980,1,FALSE,FALSE,FALSE,FALSE,NA
"ACP6","-",2,2,2,2,1,1,0.000805152979066023,0.00892857142857143,0,1,15645,42083,1,FALSE,FALSE,FALSE,FALSE,NA
"ACP7","+",2,1,2,2,1,1,0.000256344527044348,0.000126887450831113,0,1,16626,46272,1,FALSE,FALSE,FALSE,FALSE,NA
"ACPP","+",1,3,1,3,1,1,0.000299311583358276,0.00288184438040346,0,1,31809,103464,1,FALSE,FALSE,FALSE,FALSE,NA
"ACSBG2","+",0,1,0,1,0,1,0,0.00288184438040346,0,1,0,6158187,1,FALSE,FALSE,FALSE,FALSE,NA
"ACSF2","+",3,2,3,2,1,3,0.000398406374501992,0.00301204819277108,0.25,1,12393,37223,0.4,FALSE,FALSE,FALSE,FALSE,NA
"ACSF3","+",29,8,55,22,3,4,0.000958772770853308,0.00576368876080692,0.254010695187167,1,56741,103697,0.0769102006167275,FALSE,FALSE,TRUE,FALSE,NA
"ACSL1","-",3,1,3,1,3,1,0.00109729334308705,0.000848176420695505,0,1,0,45875,1,FALSE,FALSE,FALSE,FALSE,NA
"ACSL3","+",6,2,8,2,1,1,0.000303122158229767,0.000265886732252061,0,1,16500,84920,1,TRUE,FALSE,FALSE,FALSE,NA
"ACSL4","-",10,3,11,3,1,1,0.00105820105820106,0.000932835820895522,0,1,38394,124113,1,FALSE,FALSE,TRUE,FALSE,NA
"ACSL5","+",7,1,7,1,2,1,0.000588928150765607,0.00434782608695652,0,1,0,36519,1,TRUE,FALSE,FALSE,FALSE,NA
"ACSL6","-",4,1,4,1,2,1,0.000482392667631452,0.000126887450831113,0,1,23700,70412,1,TRUE,FALSE,FALSE,FALSE,NA
"ACSM1","-",1,2,1,2,1,2,0.000343053173241852,0.000848176420695505,0.166666666666667,1,0,22205,0.333333333333333,FALSE,FALSE,FALSE,FALSE,NA
"ACSM2B","-",1,0,1,0,1,0,0.000131319763624425,0,0,0,12729,20589102,1,FALSE,FALSE,FALSE,FALSE,NA
"ACSM3","+",4,3,4,3,1,2,0.00089126559714795,0.000820008200082001,0.166666666666667,1,7816,36962,1,FALSE,FALSE,TRUE,FALSE,NA
"ACSM4","+",1,0,2,0,1,0,0.000131319763624425,0,0,0,0,7318801,1,FALSE,FALSE,FALSE,FALSE,NA
"ACSM5","+",0,1,0,1,0,1,0,0.000126887450831113,0,1,482,20409051,1,FALSE,FALSE,FALSE,FALSE,NA
"ACSM6","+",2,0,2,0,1,0,0.000299311583358276,0,0,0,53919,95219640,1,FALSE,FALSE,FALSE,FALSE,NA
"ACSS1","-",1,0,1,0,1,0,0.000649772579597141,0,0,0,0,25028072,1,FALSE,FALSE,FALSE,FALSE,NA
"ACSS2","+",1,1,1,1,1,1,0.000131319763624425,0.000410004100041,0,1,0,291,1,FALSE,FALSE,FALSE,FALSE,NA
"ACSS3","+",1,0,1,0,1,0,0.000805152979066023,0,0,0,0,81255634,1,FALSE,FALSE,FALSE,FALSE,NA
"ACTA1","-",1,0,1,0,1,0,0.000722021660649819,0,0,0,3346,229427899,1,FALSE,FALSE,FALSE,FALSE,NA
"ACTA2","-",3,1,3,1,2,1,0.000731528895391368,0.00699300699300699,0,1,0,26450,0.25,FALSE,FALSE,TRUE,FALSE,NA
"ACTA2-AS1","+",1,0,1,0,1,0,0.000278009452321379,0,0,0,3713,88928970,1,FALSE,FALSE,FALSE,FALSE,NA
"ACTB","-",0,1,0,1,0,1,0,0.0026525198938992,0,1,11959,5542560,1,TRUE,FALSE,FALSE,FALSE,NA
"ACTBL2","-",1,0,1,0,1,0,0.000182381907714755,0,0,0,25707,57508516,1,FALSE,FALSE,FALSE,FALSE,NA
