"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","abund_gini","long_count","max_geneDist","genomic_range","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"GJC3","-",1,0,1,0,1,0,0.000722021660649819,0,0,0,10435,99940055,1,FALSE,FALSE,FALSE,FALSE,NA
"GK","+",5,4,6,5,1,1,0.000958772770853308,0.00218340611353712,0,1,31502,111611,0.567099567099567,FALSE,FALSE,FALSE,FALSE,NA
"GK5","-",2,1,3,3,2,1,0.000374461711290021,0.000768639508070715,0,1,30757,100012,0.4,FALSE,FALSE,FALSE,FALSE,NA
"GKAP1","-",3,1,6,1,1,1,0.000428265524625268,0.000243368216110976,0,1,0,70539,1,FALSE,FALSE,FALSE,FALSE,NA
"GKN2","-",1,0,1,0,1,0,0.00018723085564501,0,0,0,35245,68909986,1,FALSE,FALSE,FALSE,FALSE,NA
"GLB1","-",2,1,3,1,2,2,0.000364763815429509,0.000884173297966401,0,1,0,45747,0.25,TRUE,FALSE,FALSE,FALSE,NA
"GLCCI1","+",7,9,12,17,2,4,0.000722021660649819,0.013986013986014,0.271493212669683,2,0,112906,1,FALSE,FALSE,TRUE,FALSE,NA
"GLCE","+",1,2,1,2,1,3,0.00016095284081764,0.000844594594594595,0.25,2,1540,77674,0.333333333333333,FALSE,FALSE,TRUE,FALSE,NA
"GLDC","-",1,2,1,2,1,1,0.00016095284081764,0.00288184438040346,0,1,30053,129137,1,FALSE,FALSE,TRUE,FALSE,NA
"GLG1","-",7,5,14,9,2,1,0.00132978723404255,0.00395256916996047,0,1,12529,169402,0.680172297752053,FALSE,FALSE,TRUE,FALSE,NA
"GLI1","+",0,1,0,1,0,1,0,0.00112739571589628,0,1,0,57469005,1,TRUE,FALSE,TRUE,FALSE,NA
"GLI2","+",2,1,2,1,1,1,0.000241196333815726,0.000768639508070715,0,1,69870,313565,0.333333333333333,TRUE,FALSE,FALSE,FALSE,NA
"GLI3","-",5,1,6,1,1,1,0.00492610837438424,0.00176991150442478,0,1,160946,517196,1,TRUE,FALSE,TRUE,FALSE,NA
"GLIPR1","+",0,3,0,3,0,3,0,0.00106269925611052,0.266666666666667,2,0,75498488,1,FALSE,FALSE,TRUE,FALSE,NA
"GLIPR1L2","+",3,1,4,1,1,1,0.000805152979066023,0.00026581605528974,0,1,0,8308,1,FALSE,FALSE,FALSE,FALSE,NA
"GLIPR2","+",0,1,0,1,0,1,0,0.00218340611353712,0,1,2001,36134534,1,FALSE,FALSE,FALSE,FALSE,NA
"GLIS2","+",0,1,0,1,0,1,0,0.0021978021978022,0,1,11351,4303409,1,FALSE,FALSE,FALSE,FALSE,NA
"GLIS3","-",1,2,1,3,1,1,0.00016095284081764,0.00598802395209581,0,1,68513,404495,1,FALSE,FALSE,FALSE,FALSE,NA
"GLMN","-",2,2,2,3,2,1,0.000482392667631452,0.00026581605528974,0,1,0,29548,0.4,TRUE,FALSE,TRUE,FALSE,NA
"GLO1","-",1,2,1,3,1,3,0.000643500643500643,0.000354233085370174,0.266666666666667,1,0,16316,1,FALSE,FALSE,FALSE,FALSE,NA
"GLOD4","-",3,5,3,6,1,1,0.000282406099971759,0.00229885057471264,0,1,0,18996,1,FALSE,FALSE,TRUE,FALSE,NA
"GLP1R","+",1,0,1,0,1,0,0.000307408545957578,0,0,0,5847,39097150,1,FALSE,FALSE,FALSE,FALSE,NA
"GLP2R","+",0,1,0,1,0,1,0,0.000410004100041,0,1,0,9859482,1,FALSE,FALSE,FALSE,FALSE,NA
"GLRA1","-",1,1,1,1,2,1,0.000614817091915155,0.0285714285714286,0,1,0,45764,1,FALSE,FALSE,FALSE,FALSE,NA
"GLRA3","-",1,2,1,2,1,1,0.000643500643500643,0.00288184438040346,0,1,0,7464,1,FALSE,FALSE,FALSE,FALSE,NA
"GLRB","+",0,1,0,1,0,1,0,0.0000632911392405063,0,1,0,157160586,1,FALSE,FALSE,FALSE,FALSE,NA
